raceId,circuitId,count,mean,std,min,25%,50%,75%,max,year
4,3,1125.0,97834.82488888889,4945.393108248275,94556.0,96040.0,96664.0,97491.0,129178.0,2009
20,3,1133.0,97601.39982347749,6146.584150770963,93193.0,95238.0,96057.0,97283.0,143838.0,2008
38,3,1034.0,100550.41586073501,16142.852276103878,94067.0,95641.25,96562.0,97799.75,405395.0,2007
53,3,1100.0,97186.3390909091,20979.688506057697,92408.0,93935.5,94829.5,96580.0,755976.0,2006
73,3,842.0,96346.62232779097,5666.732980343399,91447.0,93646.25,94495.5,97006.5,136560.0,2005
92,3,1055.0,95387.92322274881,10045.33179481463,90252.0,92397.5,93487.0,95065.0,356806.0,2004
337,3,912.0,123994.8826754386,5090.928631163762,118287.0,120886.25,122655.5,125040.75,170108.0,2010
863,3,1289.0,101989.5539177657,5155.05566841811,96379.0,99257.0,100696.0,102391.0,147705.0,2012
883,3,1206.0,102525.87147595357,5856.945650770713,96961.0,99818.5,101141.5,102846.5,190162.0,2013
902,3,1113.0,105863.46540880503,10810.87733326276,97020.0,101042.0,102334.0,104406.0,237745.0,2014
929,3,1019.0,102143.04612365064,5850.689458543042,96311.0,99648.0,100805.0,102275.0,204028.0,2015
949,3,1002.0,100449.44710578842,5302.208043971404,94482.0,97895.5,99278.0,100733.0,141635.0,2016
971,3,885.0,100056.30734463276,10909.372753451878,92798.0,95766.0,97056.0,98441.0,166092.0,2017
990,3,997.0,98676.89769307924,6910.191025841411,93740.0,95607.0,96597.0,98073.0,177106.0,2018
1011,3,1081.0,100355.92691951897,8041.472837573479,93411.0,96916.0,98086.0,99401.0,152214.0,2019
1045,3,1016.0,128509.26279527559,169140.9300956586,92014.0,95069.75,96807.5,100298.25,1354973.0,2020
1046,3,1531.0,63150.25930764207,10499.494942289992,55404.0,58048.0,58727.0,59958.0,121524.0,2020
1052,3,1026.0,100322.85282651072,11146.757069901183,92090.0,95713.0,96787.5,98119.25,158001.0,2021
1074,3,1123.0,103134.85930543188,10013.775460576286,94570.0,98519.0,99836.0,101891.0,163846.0,2022
